"Year","COASTAL CLASSIFICATION","Deaths...3","Age-standardised mortality rate...4","Lower confidence limit...5","Upper confidence limit...6","...7","...8","Deaths...9","Age-standardised mortality rate...10","Lower confidence limit...11","Upper confidence limit...12","...13"
"2018","LARGER OTHER COASTAL TOWN",117,"17.305974753717944","14.149875522847147","20.462073984588741",NA,NA,43,"6.2943088499572211","4.5431979777726532","8.4934328511853181",NA
"2018","LARGER SEASIDE TOWN",211,"16.483752989466183","14.245670736686439","18.721835242245927",NA,NA,100,"7.0672105833580474","5.6680530447680439","8.4663681219480509",NA
"2018","NON-COASTAL CITY",391,"14.749002843665217","13.248669432719026","16.249336254611407",NA,NA,128,"5.0011492123880164","4.1185512781950484","5.8837471465809843",NA
"2018","SMALLER NON-COASTAL",253,"7.7947282123960404","6.8290666326622453","8.7603897921298355",NA,NA,128,"3.6380230670916873","3.0023498890266396","4.2736962451567351",NA
"2018","SMALLER OTHER COASTAL TOWN",30,"16.284741959419023","10.920333939129991","23.335483715197622",NA,NA,15,"7.385775516252461","4.0955220495068412","12.238097945066862","u"
"2018","SMALLER SEASIDE TOWN",29,"12.701886632610059","8.4003235089428756","18.3243427319413",NA,NA,19,"6.6447236990676277","3.8832685775222893","10.542113756018079","u"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Notes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1 Definition of drug poisoning is given on the 'definitions' tab.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2 Figures are not restricted by age.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3 Age-standardised suicide rates per 100,000 population, standardised to the 2013 European Standard Population. Age-standardised rates are used to allow comparison between populations which may contain different proportions of people of different ages.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4 Age-standardised rates cannot be calculated where there are fewer than 20 deaths have been marked with (u) to indicate that they are potentially unreliable. Rates were not calculated where there were fewer than 10 death registrations (:).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5 The lower and upper confidence limits have been provided. These form a confidence interval, which is a measure of the statistical precision of an estimate and shows the range of uncertainty around the estimated figure. Calculations based on small numbers of events are often subject to random fluctuations. As a general rule, if the confidence interval around one figure overlaps with the interval around another, we cannot say with certainty that there is more than a chance difference between the two figures.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6 Figures are for persons usually resident in England, based on postcode boundaries as of February 2021.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Source: Office for National Statistics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
